rank,id,county_name,media_market,enrollment_score
194,b0a9bdfeb1863fd699e5480018134c7a,harris,houston tx,0.8528407360698409
195,afbe83769056c1c07cd23378df753e9e,galveston,houston tx,0.8527177733436744
196,72af08fc58c3c36c5838a28f27eaaa8d,austin,houston tx,0.8525149694256511
197,87b4ff7d2dbaf58f31d0c75b9f03f2d5,harris,houston tx,0.8520626627169077
198,c428fa669da19f5aac47f95a14adb7bc,harris,houston tx,0.8513698901088358
199,763d71a5cd5bc25db13720d8b18915f3,harris,houston tx,0.8494300894484623
200,7c2b06f07d0ba8b796b710a70297241e,harris,houston tx,0.8491401719961944
201,6ccf2a5bedebfb5dcbc5786d861154e3,walker,houston tx,0.8480494473485538
202,3f9952ce4a053e5ac6eb2d31a097838b,montgomery,houston tx,0.8476990980699164
203,d6abdac9b2bbba3128cc1ade2e4237cd,galveston,houston tx,0.8475184342045425
204,5737453861e53a05cec70e0a5c9f8226,fort bend,houston tx,0.8474507978801225
205,539ca359d67dd300ef2dc1e82dac3e5d,harris,houston tx,0.8468257461824269
206,ee43d1d1a9e64e75c6de9359efe49894,san jacinto,houston tx,0.8464098676913951
207,54aa5296056c6229fbd997b04c0275cd,wharton,houston tx,0.8461600467854375
208,4cb683cc5625c8b9f5ab91716e95b31f,harris,houston tx,0.8455839771526106
209,389751aafac32c966d5de73d589a4036,harris,houston tx,0.8443261009153693
210,76f06df76f269ae2b9a350d9d15f4566,harris,houston tx,0.843708199303099
211,323ba49c3e574d1fb1ef8eca17b1d06d,harris,houston tx,0.84304204075547
212,ebe5cca4fc8a779b64f797f7bfafcfd9,harris,houston tx,0.8430103174354795
213,964b516ec1f762dfe24a4ac80f155d0a,harris,houston tx,0.8425288137641094
214,3bf44584d254f48b945b019133df63b2,fort bend,houston tx,0.841868991782277
215,f96e234f80f963d35db6fad6038382c2,harris,houston tx,0.841634413111916
216,9bb29d98d4b137fbaa60e1024ca0d941,harris,houston tx,0.8409264231146676
217,c02174843155f53efd93c6c987c19335,harris,houston tx,0.8407971397182061
218,64b972d96bf53b618e208e905c3ec855,harris,houston tx,0.8396745998365212
219,48a235a2c8a542b1c2efdd61b3e07ff4,brazoria,houston tx,0.8394224415043583
220,ea302127fe788ad84308835094eb2bd5,harris,houston tx,0.8394014006115045
221,bb0373a61b074668d5d703e51ade5e98,fort bend,houston tx,0.8389958391209089
222,71cd59abd4075366394c6249002ff297,harris,houston tx,0.8389486056829569
223,d6891e2041308972973e137b5545f7b0,fort bend,houston tx,0.8388722442719899
224,6b9d7cf56ec5f1db4f25b50c56b61837,harris,houston tx,0.8386365032025445
225,c2ab7ffcbdce41f88cd893a926a2afc0,montgomery,houston tx,0.838483408504294
226,913bdbf514bc6d3859fee5c2b1634709,fort bend,houston tx,0.8369125524074768
227,3c14284005b04caf927887536cbdee44,harris,houston tx,0.836725593424699
228,0655f7784e426987337d6b34d6a5cec5,harris,houston tx,0.8362114136645379
229,c4cfb9151a343a28a8fbfd2b3d14d348,chambers,houston tx,0.8361883294464703
230,9e6ed6a94e08fd73b097df39bfd9205f,montgomery,houston tx,0.8335994712899655
231,54c1b3cbc4cd0298e5409cff1dd170eb,fort bend,houston tx,0.8330597476570307
232,ee696c4d2781dc1c292350501b1ca904,montgomery,houston tx,0.832770335684887
233,2e39ea10034fa0dc012cac853f1986fa,harris,houston tx,0.8326192813126613
234,7737499a794be2da6bace28228e3e469,harris,houston tx,0.8322924360657501
235,39757859676196d2f90cc1d93f5ffd35,colorado,houston tx,0.8319607131309426
236,be6c31502ef6277665bc5d31c5d3b20e,harris,houston tx,0.8306854892584089
237,988893eb428f0d3dae252e46abdbdd68,waller,houston tx,0.8302360699978283
238,21943f5d4f494271362f68d88d7a728e,harris,houston tx,0.8287065879936798
239,617ba8d4506d88b2f48a1f2ed86c5820,harris,houston tx,0.8274634238831751
240,b913865cee74ee943fe20511b9b984e6,harris,houston tx,0.8271363384790149
241,99d78df1ca68bf81780ff60045d19aca,harris,houston tx,0.8267532863122572
